featureid	rab.all	rab.win.1.negative	rab.win.4.severe	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	8.30329763400119	9.77840162895625	0.221033007491249	-9.20153129547909	5.40211354358319	-1.39863200663835	0.109375079671783	1.45196643123789e-05	0.000167857030568162	1.089720917294e-05	0.000133777848449093
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium	7.67625065452819	4.69513366897044	10.0966617969469	5.29255162678927	7.83833747103989	0.621988941931587	0.252929713478725	0.00352817336766702	0.0176928557670319	0.00538136866004532	0.0282854791855194
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia	7.76278773192832	9.45665923568548	0.340619767864917	-8.90110470940022	5.27455673107972	-1.4974963901572	0.0927735336288211	5.11928726008218e-06	6.60176470196729e-05	4.48730274761942e-06	6.86583919907336e-05
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium	5.17164446825821	8.25429815472297	0.255718291284949	-7.19626318493428	6.02065009705437	-1.02738057552195	0.156250051804446	0.000438058520283816	0.00304729157180289	9.59022970407645e-05	0.00082010681651293
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	8.69230890537017	10.5619448900263	0.313795004071778	-10.0412208272721	4.95815050013026	-1.81680584777336	0.0497562863909463	4.33053575867934e-07	7.26264337996823e-06	6.31425219431375e-08	4.20132207129928e-06
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Tannerella	2.31279136208861	5.69290949604424	-0.107622479335168	-5.49427710001206	5.59757390996311	-0.880443572039344	0.185365894975084	0.00105349192900108	0.00561188344887222	0.000811613063394563	0.00507561601532653
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	12.1084869002284	14.0010341028444	2.01646155504655	-10.7339275502739	5.84342900921533	-1.68810274585753	0.0926830228760679	1.93534872523373e-06	3.20441381793534e-05	1.83270943320306e-06	3.86208496602548e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella]	9.05907020800117	11.4302442382409	0.261503973105845	-10.6640728027095	5.81973191220723	-1.6616476280852	0.0848781547571128	3.72266620142639e-07	7.58391021485103e-06	1.18801668888637e-06	2.56268353862631e-05
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga	5.52180517469859	8.24281881391614	-0.42457682548215	-8.88948750565775	5.26517947991454	-1.5806136418949	0.0732423124135955	1.89440740007884e-06	2.16476739672687e-05	7.59061911124364e-07	1.98285785534071e-05
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__Chryseobacterium	0.885118581448876	-0.558694061514654	6.62413908575064	7.32839586493682	6.07673825275956	1.06277295630209	0.133789125283415	0.000713287035813392	0.00377800556908199	0.000168206840150429	0.00124391550647684
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__Elizabethkingia	0.885999005155137	-0.81896002935502	12.7542620921653	12.9661423499416	4.94503041590469	2.2346303014094	0.0673829492749193	3.17886892463827e-06	3.20879652660686e-05	1.81693079367545e-06	3.16397125311111e-05
k__Bacteria;p__Chlorobi;c__Ignavibacteria;o__Ignavibacteriales;f__;g__	0.486645299206767	-0.76531944949528	5.3453105725821	5.58045388336452	5.32174527081736	0.906004977413992	0.166992235062801	0.00356201143370977	0.0148586427951466	0.000462029104219588	0.00293935767553951
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Anoxybacillus	3.80320879964743	0.105894242455325	11.8801245800903	10.9055571670021	7.72130605213162	1.19517981039882	0.106445394708133	6.50812215821944e-05	0.000472961586181009	1.25543781799218e-05	0.000142215580047806
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	0.363281919932755	-0.574089124152374	6.05947765392949	6.24630714600085	7.96981659884375	0.731154746099439	0.240000028265666	0.00933090940494312	0.0380214212458017	0.0129049598367554	0.0481684347883126
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;g__	5.5906674048773	7.31598949233598	0.375636132253263	-6.43158952624609	5.25856343133716	-1.06635504992185	0.152195175401417	0.000504116920281924	0.00318847862849551	0.000142977100801987	0.00114676073927103
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella	7.70491364329992	9.36764538415092	0.25217364599729	-8.64673972495887	4.2970325600815	-1.80220072847924	0.0526831045570841	1.02627344918861e-06	1.67013379064491e-05	1.32575686348003e-07	6.48550339394662e-06
