featureid	rab.all	rab.win.2.asymptomatic	rab.win.4.severe	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Actinobacteria	7.96626839910803	10.1688010017476	7.23344609820093	-2.44672014548526	4.5688351851643	-0.469390858185751	0.312093658922647	0.0798862547227815	0.193015021684819	0.0775831278060717	0.184957210668402
k__Bacteria;p__Bacteroidetes	7.6379466018845	4.56035376239399	8.88304853061176	4.03200881059099	4.01270736619995	0.942313071869878	0.136541070895041	0.00484304314955122	0.0387635473184273	0.00117270673158074	0.0120792666163847
k__Bacteria;p__Chlorobi	-2.23707970339609	-5.18705316868286	1.12139857420425	5.53702983297139	5.37161632493375	0.909614814276564	0.182054691604626	0.015070571716353	0.0555581247089105	0.00795685213591392	0.0350958616347632
k__Bacteria;p__Cyanobacteria	-2.01113729166112	2.69545476675614	-3.75955375018461	-5.30366047958533	6.89765684146311	-0.674864799462256	0.271781575083596	0.0552429797181414	0.142105713121146	0.0531604654711735	0.139796230475727
k__Bacteria;p__Firmicutes	10.4952514971561	10.7439659222976	10.4406048873937	-0.188052464229723	2.76223139738956	-0.0590793385397824	0.477243176165384	0.772942721385462	0.841956086410116	0.770974489000552	0.851727729797604
k__Bacteria;p__Fusobacteria	-1.40391935203272	0.758872555889871	-2.40993958306384	-2.98095043388741	6.97891769857982	-0.426227505545448	0.327698337045084	0.165513901560439	0.296307335967064	0.168808447071841	0.312706987917208
k__Bacteria;p__Proteobacteria	10.0630713372752	8.65935499492716	10.9884805187732	2.37956071516659	2.97923754108409	0.681677225307204	0.213264039399939	0.0273755408200206	0.0929589291029629	0.0107200653981008	0.0435461055131435
k__Bacteria;p__SR1	-4.52414985377189	-4.27502129792912	-4.65563084307039	-0.517964426375053	4.45817232263012	-0.0934418119274721	0.448634597692618	0.522380995769989	0.648009540037543	0.540890524930268	0.671279792120512
k__Bacteria;p__Spirochaetes	-4.55749869220552	-4.32240183553121	-4.63392563442401	-0.393824646360319	4.39500392409224	-0.0747268574572478	0.466145838138448	0.53034113761057	0.649719403969918	0.543154080340697	0.662896303279398
k__Bacteria;p__Synergistetes	-5.06219883414817	-5.08602373666396	-5.02933872117532	-0.0298297105743135	4.59399454939491	-0.00540026308882887	0.497395833701273	0.557596973560535	0.68877504598936	0.597141432740731	0.717347457658382
k__Bacteria;p__TM7	-3.27601550585541	-2.83967844517872	-3.51420658515999	-1.17022270925057	5.48996762631248	-0.183024569416267	0.417425239530795	0.4867730127556	0.618236272715727	0.529455879928689	0.65200283086183
k__Bacteria;p__Tenericutes	-4.11700058515378	-3.76637442615174	-4.34704649467589	-0.65367101894373	4.26862472048667	-0.138100676247884	0.420572928179032	0.527117850331653	0.636390419502424	0.512312472809343	0.639220139064553
k__Bacteria;p__[Thermi]	-4.69069031471597	-5.0176882856344	-4.36043439547241	0.644813748692507	4.66282370204543	0.12930802170204	0.442132648057187	0.491849318697485	0.627423082751884	0.479983276462025	0.60853557959087
