featureid	rab.all	rab.win.1.negative	rab.win.4.severe	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Acidobacteria	-5.04052707160316	-5.71299657727546	-3.75048672558443	1.64835936528101	4.51499679576721	0.330553190567518	0.331707332127254	0.18156296037081	0.224281321036312	0.153685206776889	0.187086202051908
k__Bacteria;p__Actinobacteria	7.49991360642119	7.06168417825695	8.81679759453434	1.3587226861814	3.8750527877385	0.298552886943026	0.360351574537242	0.424941310790526	0.482526538251474	0.155228347536347	0.208675215970102
k__Bacteria;p__Bacteroidetes	9.98112382321933	9.75116716455964	10.3352067481306	0.597136293300603	2.56931497316805	0.163045302956974	0.384765634671724	0.303214303151413	0.377557057961153	0.28176698405542	0.325048093202228
k__Bacteria;p__Chlorobi	-4.04911733251926	-5.51256986011304	2.40188428191711	7.40458678315438	5.35957847884815	1.20949202370774	0.124023506257847	0.000347090791757624	0.00109180752365052	0.00011616365700096	0.000379866213106472
k__Bacteria;p__Chloroflexi	-4.945704296817	-5.59166256359727	-3.5825956898236	1.75790391895728	4.59710591488913	0.328009904519416	0.325195328326663	0.201469110915882	0.244278864568005	0.146125372436221	0.177353694689758
k__Bacteria;p__Cyanobacteria	-3.32218967288157	-3.92785169252741	-2.62271978649921	1.48854125540533	7.87725239727877	0.19054966322391	0.410156257378367	0.588858919654353	0.625621131542982	0.484681934397783	0.513962810380932
k__Bacteria;p__Firmicutes	10.7150339184175	10.052668159482	11.8636770750286	1.79272617365504	1.9907720514652	0.735091454335545	0.192382851836629	0.0259925803885939	0.0504714361918044	0.000998895825869919	0.00276176217937924
k__Bacteria;p__Fusobacteria	6.48545796130558	8.21946584549956	-1.15295849753592	-8.53616835156209	5.29568658235296	-1.48714843434796	0.0566407898558886	2.95777111903157e-06	2.24153667391084e-05	2.53510442026305e-07	2.72066221704554e-06
k__Bacteria;p__Gemmatimonadetes	-5.01723245796917	-5.66732005251614	-3.70280131902578	1.83498094355864	4.68596277413273	0.338098028647944	0.33365855142121	0.192329952591852	0.233691355760847	0.160298394721991	0.189850008260962
k__Bacteria;p__Planctomycetes	-4.95753173596761	-5.6328912505263	-3.73140494817334	1.72463460423738	4.44070448575804	0.344332863048863	0.340820326577224	0.188390517184984	0.2305911752484	0.160492044643482	0.191987665703766
k__Bacteria;p__Proteobacteria	9.99871987598213	9.2515339470093	12.2826453378446	3.03182709756389	2.45758584562132	1.14769638613195	0.116097635158411	0.000416771706971147	0.00159997753373654	1.32353496806191e-05	6.32964972089608e-05
k__Bacteria;p__SR1	-2.99823656922261	-2.39406473175809	-3.41675639237321	-1.9357622240523	6.05986712856736	-0.284390823446915	0.387695321899363	0.219302774918381	0.27658427310456	0.288162764746861	0.331295919820999
k__Bacteria;p__Spirochaetes	-1.40775941104412	0.901228270441056	-3.31941253805104	-4.11212644558477	5.05385549110701	-0.709424396763532	0.208780522762686	0.00666860095624972	0.0155337492312478	0.00455933182051444	0.010084061521693
k__Bacteria;p__Synergistetes	-4.50014941982351	-4.98358132225752	-3.73803695672758	0.893151179247724	4.9566738095143	0.153736838119912	0.424804693614273	0.416599150914975	0.461004198931064	0.407294087287644	0.440541037957434
k__Bacteria;p__TM7	3.62941274579478	5.35935521426439	-2.23500194872354	-7.27415496571442	4.72844802994304	-1.47105945762846	0.0770732886287769	6.72051155064447e-06	3.76529179434111e-05	6.32017714866781e-07	5.30223093823988e-06
k__Bacteria;p__Tenericutes	-1.42558246961761	0.516609154090758	-2.92640676533768	-3.2634901180856	5.41361542532347	-0.556012650555901	0.264390267924547	0.0520829081826495	0.083843377827894	0.025553748232294	0.045643866627024
k__Bacteria;p__[Thermi]	-4.79116999777187	-5.56735513930907	-3.0500132859871	2.54053441250115	4.82618050579016	0.455564851351712	0.294634165936294	0.122334261363818	0.15802187338061	0.0783179357084997	0.102762072844879
