featureid	rab.all	rab.win.1.negative	rab.win.3.mild	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__	2.70845634650121	-0.560092279768038	8.80585989817962	9.33827702069241	4.90179217615802	1.60917987428474	0.0712196407328868	1.62057259231467e-05	7.10007396883425e-05	5.3324739327973e-07	8.07342980874301e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	7.85423174415676	9.20819096174378	2.76798864679894	-5.85038081846495	5.05895482536647	-1.01585193362465	0.111328203053842	0.000187216138704389	0.000943755509951598	5.73905726903529e-06	4.29286183249428e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	9.58606221048322	3.88746972259589	13.683310797339	9.65244012703686	6.06794134153741	1.44002097574584	0.0556099238882332	3.75928668451905e-08	7.29054348873562e-07	6.3133888813575e-08	3.01615363543617e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae	0.36252834381467	-0.962315079865512	5.13226784443431	5.18523352368531	5.45425962139177	0.835790863308177	0.19414638022833	0.00357065019674025	0.012306666361088	0.00195720243973707	0.00735904720019893
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae	5.12420635493722	-0.224264984765707	9.47477694396749	9.47086001628121	4.95447689639816	1.55726139811462	0.079101677298638	1.17506028030503e-08	3.18195637663271e-07	4.51388152606804e-07	8.09333686096042e-06
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	4.78512422434422	7.51795478369852	0.855465828862659	-5.71786770108142	5.80493912434566	-0.930642032640051	0.150243956762109	0.000304852919197786	0.00143373801576449	0.000132412970623423	0.000623131963064707
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__	0.135831276623039	3.11149031429764	-2.26355104004721	-5.7106292910696	5.77083114759936	-0.91018734224483	0.175609800529653	0.0011223095257209	0.0042858579632575	0.00147349282315224	0.00544044530577904
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	8.74859754463574	10.0726821145961	3.15720166157397	-6.72696123881034	5.2829320645481	-1.13024928762172	0.13183600140924	5.54115533018949e-05	0.000343120193186625	2.7357781106099e-05	0.000154867923332998
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	11.4180532854981	13.3004673053015	6.8205903812028	-5.92287336036288	5.0925824013722	-1.11698009853046	0.0947266563974041	0.000109415376188336	0.000597199072641807	1.51705115590059e-06	1.70494427340064e-05
